Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 36.45      5.15     5.15    26005     0.20     0.53  tinyxml2::XMLNode::FirstChildElement(char const*) const
 32.48      9.74     4.59 323796339     0.00     0.00  tinyxml2::XMLUtil::StringEqual(char const*, char const*, int)
 11.85     11.41     1.68 323875335     0.00     0.00  tinyxml2::StrPair::GetStr()
  7.01     12.40     0.99 323646331     0.00     0.00  tinyxml2::XMLNode::Value() const
  6.02     13.26     0.85 323646330     0.00     0.00  tinyxml2::XMLElement::Name() const
  4.53     13.89     0.64 323621333     0.00     0.00  tinyxml2::XMLElement::ToElement()
  0.18     13.92     0.03   150000     0.00     0.00  tinyxml2::StrPair::SetStr(char const*, int)
  0.14     13.94     0.02                             __gdtoa
  0.14     13.96     0.02                             __mingw_pformat
  0.14     13.98     0.02                             __pformat_int
  0.14     14.00     0.02                             __pformat_putc
  0.11     14.02     0.01        1    15.00    15.00  tinyxml2::XMLUtil::ReadBOM(char const*, bool*)
  0.07     14.03     0.01   125007     0.00     0.00  tinyxml2::XMLPrinter::Print(char const*, ...)
  0.07     14.04     0.01    25005     0.00     0.00  tinyxml2::XMLNode::DeleteChildren()
  0.07     14.04     0.01    25000     0.00     0.00  tinyxml2::XMLPrinter::PrintString(char const*, bool)
  0.07     14.05     0.01    25000     0.00     0.00  tinyxml2::XMLAttribute::SetAttribute(bool)
  0.07     14.06     0.01    25000     0.00     0.00  tinyxml2::XMLNode::SetValue(char const*, bool)
  0.07     14.07     0.01    25000     0.00     0.00  tinyxml2::MemPoolT<36>::Alloc()
  0.07     14.09     0.01                             __chkstk_ms
  0.07     14.10     0.01                             __freedtoa
  0.07     14.11     0.01                             _fu0___ZSt4cout
  0.07     14.12     0.01                             snprintf
  0.04     14.12     0.01   225007     0.00     0.00  tinyxml2::StrPair::Reset()
  0.04     14.12     0.01    25002     0.00     0.00  tinyxml2::XMLPrinter::OpenElement(char const*)
  0.04     14.13     0.01                             tinyxml2::XMLPrinter::PushHeader(bool, bool)
  0.00     14.13     0.00   200004     0.00     0.00  tinyxml2::XMLAttribute::Name() const
  0.00     14.13     0.00   125009     0.00     0.00  tinyxml2::DynArray<char, 20>::EnsureCapacity(int)
  0.00     14.13     0.00   125007     0.00     0.00  tinyxml2::DynArray<char, 20>::PushArr(int)
  0.00     14.13     0.00   100004     0.00     0.00  tinyxml2::XMLElement::FindAttribute(char const*) const
  0.00     14.13     0.00   100000     0.00     0.00  tinyxml2::XMLElement::FindOrCreateAttribute(char const*)
  0.00     14.13     0.00    76000     0.00     0.00  tinyxml2::XMLUtil::ToStr(int, char*, int)
  0.00     14.13     0.00    75005     0.00     0.00  tinyxml2::StrPair::StrPair()
  0.00     14.13     0.00    75005     0.00     0.00  tinyxml2::StrPair::~StrPair()
  0.00     14.13     0.00    50002     0.00     0.00  operator new(unsigned int, void*)
  0.00     14.13     0.00    29000     0.00     0.00  tinyxml2::XMLAttribute::Value() const
  0.00     14.13     0.00    26005     0.00     0.53  tinyxml2::XMLNode::FirstChildElement(char const*)
  0.00     14.13     0.00    25003     0.00     0.00  tinyxml2::XMLNode::XMLNode(tinyxml2::XMLDocument*)
  0.00     14.13     0.00    25003     0.00     0.00  tinyxml2::XMLNode::~XMLNode()
  0.00     14.13     0.00    25002     0.00     0.00  tinyxml2::XMLPrinter::CloseElement()
  0.00     14.13     0.00    25002     0.00     0.00  tinyxml2::XMLNode::InsertEndChild(tinyxml2::XMLNode*)
  0.00     14.13     0.00    25002     0.00     0.00  tinyxml2::XMLNode::Unlink(tinyxml2::XMLNode*)
  0.00     14.13     0.00    25002     0.00     0.00  tinyxml2::DynArray<char const*, 10>::EnsureCapacity(int)
  0.00     14.13     0.00    25002     0.00     0.00  tinyxml2::DynArray<char const*, 10>::Pop()
  0.00     14.13     0.00    25002     0.00     0.00  tinyxml2::DynArray<char const*, 10>::Push(char const*)
  0.00     14.13     0.00    25002     0.00     0.00  tinyxml2::XMLNode::FirstChild() const
  0.00     14.13     0.00    25002     0.00     0.00  tinyxml2::XMLNode::NextSibling() const
  0.00     14.13     0.00    25001     0.00     0.00  tinyxml2::XMLElement::XMLElement(tinyxml2::XMLDocument*)
  0.00     14.13     0.00    25001     0.00     0.00  tinyxml2::XMLElement::~XMLElement()
